date,day_of_week,ingredient,unit,opening_stock,received_qty,usage_qty,wastage_qty,closing_stock,par_level,reorder_point,low_stock_alert,expiry_risk_flag,daily_ingredient_cost_aed
2024-11-01,Friday,Chocolate (cooking),kg,1.59,0,1.12,0.05,0.42,2,0.5,1,0,35.84
2024-11-01,Friday,Coconut Flakes,kg,1.06,0,0.66,0.0,0.4,1,0.3,0,0,13.2
2024-11-01,Friday,Peanut Butter,kg,1.41,0,1.05,0.04,0.32,1.5,0.4,1,0,18.9
2024-11-01,Friday,Gloves (box),boxes,2.32,0,0.29,0.01,2.02,3,1,0,0,6.38
2024-11-02,Saturday,Chicken Breast,kg,22.8,0,19.04,0.63,3.13,25,10,1,0,533.12
2024-11-02,Saturday,Beef Patty (Wagyu),pcs,101.53,0,83.3,0.5,17.73,100,30,1,0,1499.4
2024-11-02,Saturday,Ribeye Steak,portions,11.39,0,13.84,0.48,0,15,5,1,0,761.2
2024-11-02,Saturday,Beef Brisket,kg,8.79,0,6.35,0.11,2.33,8,3,1,0,285.75
2024-11-02,Saturday,Salmon Fillet,portions,19.65,0,11.68,0.14,7.83,18,6,0,0,408.8
2024-11-02,Saturday,Prawn (Sriracha),portions,10.0,0,9.87,0.04,0.09,12,4,1,0,217.14
2024-11-02,Saturday,Eggs,pcs,331.36,0,354.07,5.2,0,360,100,1,0,283.26
2024-11-02,Saturday,Milk,litres,39.77,0,25.29,0.01,14.47,40,12,0,0,151.74
2024-11-02,Saturday,Espresso Beans (Lavazza),kg,3.97,0,3.31,0.09,0.57,5,1.5,1,0,314.45
2024-11-02,Saturday,Mozzarella Cheese,kg,6.44,0,4.87,0.18,1.39,6,2,1,0,219.15
2024-11-02,Saturday,Feta Cheese,kg,1.61,0,1.5,0.02,0.09,2,0.5,1,0,57.0
2024-11-02,Saturday,Parmigiano,kg,1.42,0,0.9,0.01,0.51,1.5,0.4,0,0,49.5
2024-11-02,Saturday,Avocado,pcs,38.3,0,39.15,1.32,0,50,15,1,0,156.6
2024-11-02,Saturday,Brioche Buns,pcs,114.17,0,86.17,2.19,25.81,120,40,1,0,215.43
2024-11-02,Saturday,Sourdough Bread,loaves,18.34,0,11.36,0.34,6.64,18,5,0,0,136.32
2024-11-02,Saturday,Croissant,pcs,34.25,0,28.68,1.41,4.16,35,10,1,0,114.72
2024-11-02,Saturday,French Fries (frozen),kg,27.4,0,21.63,0.52,5.25,28,8,1,0,194.67
2024-11-02,Saturday,Sweet Corn,kg,4.23,0,2.41,0.09,1.73,4,1,0,0,16.87
2024-11-02,Saturday,Green Peas,kg,1.56,0,0.83,0.02,0.71,1.5,0.4,0,0,6.64
2024-11-02,Saturday,Lemon Juice,ml,1609.17,0,1175.32,3.38,430.47,2000,500,1,0,23.51
2024-11-02,Saturday,Olive Oil,litres,1.59,0,0.71,0.04,0.84,1.5,0.4,0,0,24.85
2024-11-02,Saturday,White Sugar,kg,3.29,0,1.67,0.0,1.62,3,0.8,0,0,6.68
2024-11-02,Saturday,Strawberries,kg,7.17,0,5.18,0.23,1.76,7,2,1,0,113.96
2024-11-02,Saturday,Banana,kg,7.93,0,7.46,0.32,0.15,10,3,1,0,59.68
2024-11-02,Saturday,Acai (frozen),kg,6.23,0,5.67,0.14,0.42,8,2.5,1,0,368.55
2024-11-02,Saturday,Granola,kg,3.09,0,2.16,0.05,0.88,3,0.8,0,0,38.88
2024-11-02,Saturday,Chia Seeds,kg,0.76,0,0.55,0.01,0.2,1,0.2,1,0,16.5
2024-11-02,Saturday,Nutella,kg,3.23,0,2.5,0.0,0.73,4,1,1,0,70.0
2024-11-02,Saturday,Maple Syrup,litres,1.59,0,1.39,0.01,0.19,2,0.5,1,0,58.38
2024-11-02,Saturday,Hashbrown (frozen),pcs,99.46,0,104.21,2.59,0,120,40,1,0,156.31
2024-11-02,Saturday,Bacon Strips,pcs,85.38,0,62.69,0.5,22.19,80,25,1,0,188.07
2024-11-02,Saturday,Chicken Sausage,pcs,46.26,0,33.8,1.04,11.42,50,15,1,0,135.2
2024-11-02,Saturday,Chicken Hotdog,pcs,13.46,0,5.92,0.06,7.48,15,5,0,0,29.6
2024-11-02,Saturday,Beef Hotdog,pcs,21.91,0,13.68,0.3,7.93,20,6,0,0,82.08
2024-11-02,Saturday,Mushrooms,kg,4.15,0,2.69,0.03,1.43,4,1,0,0,48.42
2024-11-02,Saturday,Carrot,pcs,6.93,0,3.65,0.02,3.26,8,3,0,0,3.65
2024-11-02,Saturday,Capsicum,kg,3.76,0,3.0,0.1,0.66,5,1.5,1,0,30.0
2024-11-02,Saturday,Spinach,kg,3.12,0,1.93,0.01,1.18,3,0.8,0,0,23.16
2024-11-02,Saturday,Tortilla Wraps,pcs,68.66,0,58.36,0.43,9.87,70,20,1,0,70.03
2024-11-02,Saturday,Pasta (various),kg,9.8,0,6.31,0.0,3.49,10,3,0,0,50.48
2024-11-02,Saturday,Sriracha Sauce,litres,0.89,0,0.64,0.02,0.23,1,0.3,1,0,16.0
2024-11-02,Saturday,BBQ Sauce,litres,0.81,0,0.47,0.02,0.32,1,0.2,0,0,8.46
2024-11-02,Saturday,Chocolate (cooking),kg,1.7,0,1.58,0.02,0.1,2,0.5,1,0,50.56
2024-11-02,Saturday,Coconut Flakes,kg,0.81,0,0.67,0.02,0.12,1,0.3,1,0,13.4
2024-11-02,Saturday,Peanut Butter,kg,1.4,0,1.18,0.04,0.18,1.5,0.4,1,0,21.24
2024-11-02,Saturday,Gloves (box),boxes,2.78,0,0.27,0.0,2.51,3,1,0,0,5.94
2024-11-03,Sunday,Chicken Breast,kg,25.22,0,19.33,0.62,5.27,25,10,1,0,541.24
2024-11-03,Sunday,Beef Patty (Wagyu),pcs,94.21,0,90.24,1.6,2.37,100,30,1,0,1624.32
2024-11-03,Sunday,Ribeye Steak,portions,15.7,0,12.06,0.25,3.39,15,5,1,0,663.3
2024-11-03,Sunday,Beef Brisket,kg,6.77,0,5.87,0.08,0.82,8,3,1,0,264.15
2024-11-03,Sunday,Salmon Fillet,portions,14.37,0,12.3,0.58,1.49,18,6,1,0,430.5
2024-11-03,Sunday,Prawn (Sriracha),portions,11.98,0,7.68,0.12,4.18,12,4,0,0,168.96
2024-11-03,Sunday,Eggs,pcs,312.41,0,269.98,2.8,39.63,360,100,1,0,215.98
2024-11-03,Sunday,Milk,litres,40.56,0,27.4,0.93,12.23,40,12,0,0,164.4
2024-11-03,Sunday,Espresso Beans (Lavazza),kg,4.34,0,2.77,0.11,1.46,5,1.5,1,0,263.15
2024-11-03,Sunday,Mozzarella Cheese,kg,5.46,0,3.58,0.04,1.84,6,2,1,0,161.1
2024-11-03,Sunday,Feta Cheese,kg,1.82,0,1.17,0.05,0.6,2,0.5,0,0,44.46
2024-11-03,Sunday,Parmigiano,kg,1.5,0,0.83,0.02,0.65,1.5,0.4,0,0,45.65
2024-11-03,Sunday,Avocado,pcs,46.14,0,34.38,0.21,11.55,50,15,1,0,137.52
2024-11-03,Sunday,Brioche Buns,pcs,96.81,0,109.78,4.26,0,120,40,1,0,274.45
2024-11-03,Sunday,Sourdough Bread,loaves,18.87,0,15.42,0.75,2.7,18,5,1,0,185.04
2024-11-03,Sunday,Croissant,pcs,27.62,0,26.17,0.71,0.74,35,10,1,0,104.68
2024-11-03,Sunday,French Fries (frozen),kg,21.0,0,20.07,0.82,0.11,28,8,1,0,180.63
2024-11-03,Sunday,Sweet Corn,kg,3.08,0,3.13,0.08,0,4,1,1,0,21.91
2024-11-03,Sunday,Green Peas,kg,1.19,0,0.89,0.03,0.27,1.5,0.4,1,0,7.12
2024-11-03,Sunday,Lemon Juice,ml,2115.92,0,1342.74,39.96,733.22,2000,500,0,0,26.85
2024-11-03,Sunday,Olive Oil,litres,1.63,0,0.89,0.03,0.71,1.5,0.4,0,0,31.15
2024-11-03,Sunday,White Sugar,kg,3.02,0,1.39,0.0,1.63,3,0.8,0,0,5.56
2024-11-03,Sunday,Strawberries,kg,7.0,0,5.49,0.0,1.51,7,2,1,0,120.78
2024-11-03,Sunday,Banana,kg,9.9,0,7.35,0.14,2.41,10,3,1,0,58.8
2024-11-03,Sunday,Acai (frozen),kg,7.04,0,5.71,0.17,1.16,8,2.5,1,0,371.15
2024-11-03,Sunday,Granola,kg,2.29,0,2.09,0.02,0.18,3,0.8,1,0,37.62
2024-11-03,Sunday,Chia Seeds,kg,0.9,0,0.53,0.02,0.35,1,0.2,0,0,15.9
2024-11-03,Sunday,Nutella,kg,3.85,0,2.67,0.08,1.1,4,1,0,0,74.76
2024-11-03,Sunday,Maple Syrup,litres,2.13,0,1.12,0.04,0.97,2,0.5,0,0,47.04
2024-11-03,Sunday,Hashbrown (frozen),pcs,111.66,0,76.31,0.26,35.09,120,40,1,0,114.47
2024-11-03,Sunday,Bacon Strips,pcs,61.41,0,65.51,2.54,0,80,25,1,0,196.53
2024-11-03,Sunday,Chicken Sausage,pcs,46.58,0,28.65,0.06,17.87,50,15,0,0,114.6
2024-11-03,Sunday,Chicken Hotdog,pcs,11.8,0,7.03,0.35,4.42,15,5,1,0,35.15
2024-11-03,Sunday,Beef Hotdog,pcs,20.98,0,14.9,0.46,5.62,20,6,1,0,89.4
2024-11-03,Sunday,Mushrooms,kg,3.83,0,2.64,0.02,1.17,4,1,0,0,47.52
2024-11-03,Sunday,Carrot,pcs,6.07,0,3.82,0.08,2.17,8,3,1,0,3.82
2024-11-03,Sunday,Capsicum,kg,4.27,0,3.62,0.05,0.6,5,1.5,1,0,36.2
2024-11-03,Sunday,Spinach,kg,3.0,0,1.74,0.07,1.19,3,0.8,0,0,20.88
2024-11-03,Sunday,Tortilla Wraps,pcs,70.22,0,45.14,2.18,22.9,70,20,0,0,54.17
2024-11-03,Sunday,Pasta (various),kg,10.88,0,6.14,0.16,4.58,10,3,0,0,49.12
2024-11-03,Sunday,Sriracha Sauce,litres,1.01,0,0.68,0.0,0.33,1,0.3,0,0,17.0
2024-11-03,Sunday,BBQ Sauce,litres,0.8,0,0.47,0.02,0.31,1,0.2,0,0,8.46
2024-11-03,Sunday,Chocolate (cooking),kg,2.12,0,1.21,0.05,0.86,2,0.5,0,0,38.72
2024-11-03,Sunday,Coconut Flakes,kg,0.93,0,0.57,0.02,0.34,1,0.3,0,0,11.4
2024-11-03,Sunday,Peanut Butter,kg,1.55,0,0.84,0.01,0.7,1.5,0.4,0,0,15.12
2024-11-03,Sunday,Gloves (box),boxes,2.83,0,0.24,0.0,2.59,3,1,0,0,5.28
2024-11-04,Monday,Chicken Breast,kg,22.74,39.2,12.31,0.4,49.23,25,10,0,0,344.68
2024-11-04,Monday,Beef Patty (Wagyu),pcs,105.51,164.5,57.9,1.37,210.74,100,30,0,0,1042.2
2024-11-04,Monday,Ribeye Steak,portions,15.24,24.5,9.16,0.14,30.44,15,5,0,0,503.8
2024-11-04,Monday,Beef Brisket,kg,8.8,12.25,3.77,0.18,17.1,8,3,0,0,169.65
2024-11-04,Monday,Salmon Fillet,portions,18.74,28.0,9.71,0.2,36.83,18,6,0,0,339.85
2024-11-04,Monday,Prawn (Sriracha),portions,11.09,17.5,6.25,0.27,22.07,12,4,0,0,137.5
2024-11-04,Monday,Eggs,pcs,296.33,630.0,193.3,7.2,725.83,360,100,0,0,154.64
2024-11-04,Monday,Milk,litres,30.35,63.0,23.13,1.1,69.12,40,12,0,0,138.78
2024-11-04,Monday,Espresso Beans (Lavazza),kg,3.79,6.3,2.57,0.0,7.52,5,1.5,0,0,244.15
2024-11-04,Monday,Mozzarella Cheese,kg,4.64,8.75,2.61,0.04,10.74,6,2,0,0,117.45
2024-11-04,Monday,Feta Cheese,kg,2.09,2.8,0.97,0.01,3.91,2,0.5,0,0,36.86
2024-11-04,Monday,Parmigiano,kg,1.54,1.75,0.56,0.0,2.73,1.5,0.4,0,0,30.8
2024-11-04,Monday,Avocado,pcs,43.18,77.0,25.84,0.64,93.7,50,15,0,1,103.36
2024-11-04,Monday,Brioche Buns,pcs,93.8,210.0,76.58,0.9,226.32,120,40,0,0,191.45
2024-11-04,Monday,Sourdough Bread,loaves,16.7,28.0,11.32,0.38,33.0,18,5,0,0,135.84
2024-11-04,Monday,Croissant,pcs,30.74,52.5,19.39,0.92,62.93,35,10,0,1,77.56
2024-11-04,Monday,French Fries (frozen),kg,29.55,42.0,14.97,0.65,55.93,28,8,0,0,134.73
2024-11-04,Monday,Sweet Corn,kg,3.9,5.6,2.02,0.07,7.41,4,1,0,0,14.14
2024-11-04,Monday,Green Peas,kg,1.35,1.75,0.55,0.01,2.54,1.5,0.4,0,0,4.4
2024-11-04,Monday,Lemon Juice,ml,1569.18,2800.0,873.4,5.79,3489.99,2000,500,0,0,17.47
2024-11-04,Monday,Olive Oil,litres,1.55,1.75,0.6,0.0,2.7,1.5,0.4,0,0,21.0
2024-11-04,Monday,White Sugar,kg,3.23,3.5,1.22,0.01,5.5,3,0.8,0,0,4.88
2024-11-04,Monday,Strawberries,kg,6.0,10.5,3.79,0.14,12.57,7,2,0,1,83.38
2024-11-04,Monday,Banana,kg,10.22,14.0,5.32,0.1,18.8,10,3,0,0,42.56
2024-11-04,Monday,Acai (frozen),kg,8.66,12.25,4.74,0.02,16.15,8,2.5,0,0,308.1
2024-11-04,Monday,Granola,kg,2.82,4.2,1.46,0.01,5.55,3,0.8,0,0,26.28
2024-11-04,Monday,Chia Seeds,kg,1.08,1.05,0.33,0.01,1.79,1,0.2,0,0,9.9
2024-11-04,Monday,Nutella,kg,3.55,5.25,2.13,0.08,6.59,4,1,0,0,59.64
2024-11-04,Monday,Maple Syrup,litres,1.56,2.8,0.95,0.03,3.38,2,0.5,0,0,39.9
2024-11-04,Monday,Hashbrown (frozen),pcs,98.29,192.5,75.53,1.6,213.66,120,40,0,0,113.3
2024-11-04,Monday,Bacon Strips,pcs,83.08,122.5,50.67,1.12,153.79,80,25,0,0,152.01
2024-11-04,Monday,Chicken Sausage,pcs,40.18,70.0,26.36,0.53,83.29,50,15,0,0,105.44
2024-11-04,Monday,Chicken Hotdog,pcs,13.23,14.0,5.52,0.06,21.65,15,5,0,0,27.6
2024-11-04,Monday,Beef Hotdog,pcs,20.1,28.0,11.13,0.1,36.87,20,6,0,0,66.78
2024-11-04,Monday,Mushrooms,kg,3.34,5.25,2.03,0.02,6.54,4,1,0,1,36.54
2024-11-04,Monday,Carrot,pcs,8.47,7.0,2.61,0.05,12.81,8,3,0,0,2.61
2024-11-04,Monday,Capsicum,kg,4.41,7.0,2.59,0.01,8.81,5,1.5,0,0,25.9
2024-11-04,Monday,Spinach,kg,2.36,3.5,1.43,0.07,4.36,3,0.8,0,1,17.16
2024-11-04,Monday,Tortilla Wraps,pcs,54.23,105.0,39.72,0.49,119.02,70,20,0,0,47.66
2024-11-04,Monday,Pasta (various),kg,9.07,14.0,5.57,0.21,17.29,10,3,0,0,44.56
2024-11-04,Monday,Sriracha Sauce,litres,0.93,1.4,0.44,0.01,1.88,1,0.3,0,0,11.0
2024-11-04,Monday,BBQ Sauce,litres,0.85,1.05,0.43,0.01,1.46,1,0.2,0,0,7.74
2024-11-04,Monday,Chocolate (cooking),kg,2.03,2.8,0.9,0.02,3.91,2,0.5,0,0,28.8
2024-11-04,Monday,Coconut Flakes,kg,1.06,1.4,0.49,0.01,1.96,1,0.3,0,0,9.8
2024-11-04,Monday,Peanut Butter,kg,1.53,2.1,0.67,0.0,2.96,1.5,0.4,0,0,12.06
2024-11-04,Monday,Gloves (box),boxes,3.23,0.53,0.16,0.0,3.6,3,1,0,0,3.52
2024-11-05,Tuesday,Chicken Breast,kg,20.49,0,11.84,0.37,8.28,25,10,1,0,331.52
2024-11-05,Tuesday,Beef Patty (Wagyu),pcs,78.74,0,51.28,2.13,25.33,100,30,1,0,923.04
2024-11-05,Tuesday,Ribeye Steak,portions,12.0,0,7.79,0.39,3.82,15,5,1,0,428.45
2024-11-05,Tuesday,Beef Brisket,kg,6.67,0,3.82,0.01,2.84,8,3,1,0,171.9
2024-11-05,Tuesday,Salmon Fillet,portions,17.19,0,8.5,0.17,8.52,18,6,0,0,297.5
2024-11-05,Tuesday,Prawn (Sriracha),portions,10.51,0,5.47,0.15,4.89,12,4,0,0,120.34
2024-11-05,Tuesday,Eggs,pcs,355.29,0,185.09,6.09,164.11,360,100,0,0,148.07
2024-11-05,Tuesday,Milk,litres,42.15,0,23.25,0.55,18.35,40,12,0,0,139.5
2024-11-05,Tuesday,Espresso Beans (Lavazza),kg,4.85,0,2.52,0.04,2.29,5,1.5,0,0,239.4
2024-11-05,Tuesday,Mozzarella Cheese,kg,5.89,0,2.65,0.09,3.15,6,2,0,0,119.25
2024-11-05,Tuesday,Feta Cheese,kg,1.86,0,1.15,0.05,0.66,2,0.5,0,0,43.7
2024-11-05,Tuesday,Parmigiano,kg,1.38,0,0.54,0.01,0.83,1.5,0.4,0,0,29.7
2024-11-05,Tuesday,Avocado,pcs,40.79,0,24.07,0.67,16.05,50,15,0,0,96.28
2024-11-05,Tuesday,Brioche Buns,pcs,104.61,0,65.62,0.79,38.2,120,40,1,0,164.05
2024-11-05,Tuesday,Sourdough Bread,loaves,18.2,0,8.59,0.3,9.31,18,5,0,0,103.08
2024-11-05,Tuesday,Croissant,pcs,31.03,0,15.9,0.66,14.47,35,10,0,0,63.6
2024-11-05,Tuesday,French Fries (frozen),kg,22.43,0,12.68,0.58,9.17,28,8,0,0,114.12
2024-11-05,Tuesday,Sweet Corn,kg,4.34,0,2.19,0.1,2.05,4,1,0,0,15.33
2024-11-05,Tuesday,Green Peas,kg,1.31,0,0.56,0.01,0.74,1.5,0.4,0,0,4.48
2024-11-05,Tuesday,Lemon Juice,ml,1853.98,0,947.48,29.57,876.93,2000,500,0,0,18.95
2024-11-05,Tuesday,Olive Oil,litres,1.25,0,0.59,0.0,0.66,1.5,0.4,0,0,20.65
2024-11-05,Tuesday,White Sugar,kg,2.93,0,1.46,0.04,1.43,3,0.8,0,0,5.84
2024-11-05,Tuesday,Strawberries,kg,6.03,0,4.34,0.14,1.55,7,2,1,0,95.48
2024-11-05,Tuesday,Banana,kg,7.96,0,4.15,0.19,3.62,10,3,0,0,33.2
2024-11-05,Tuesday,Acai (frozen),kg,7.48,0,4.15,0.03,3.3,8,2.5,0,0,269.75
2024-11-05,Tuesday,Granola,kg,3.0,0,1.57,0.04,1.39,3,0.8,0,0,28.26
2024-11-05,Tuesday,Chia Seeds,kg,0.95,0,0.33,0.01,0.61,1,0.2,0,0,9.9
2024-11-05,Tuesday,Nutella,kg,3.67,0,1.98,0.03,1.66,4,1,0,0,55.44
2024-11-05,Tuesday,Maple Syrup,litres,2.15,0,0.86,0.03,1.26,2,0.5,0,0,36.12
2024-11-05,Tuesday,Hashbrown (frozen),pcs,111.14,0,77.22,0.18,33.74,120,40,1,0,115.83
2024-11-05,Tuesday,Bacon Strips,pcs,87.89,0,41.64,0.66,45.59,80,25,0,0,124.92
2024-11-05,Tuesday,Chicken Sausage,pcs,48.59,0,21.18,0.87,26.54,50,15,0,0,84.72
2024-11-05,Tuesday,Chicken Hotdog,pcs,14.8,0,4.43,0.06,10.31,15,5,0,0,22.15
2024-11-05,Tuesday,Beef Hotdog,pcs,19.14,0,10.95,0.24,7.95,20,6,0,0,65.7
2024-11-05,Tuesday,Mushrooms,kg,4.1,0,2.11,0.05,1.94,4,1,0,0,37.98
2024-11-05,Tuesday,Carrot,pcs,6.58,0,2.89,0.09,3.6,8,3,0,0,2.89
2024-11-05,Tuesday,Capsicum,kg,4.93,0,2.22,0.06,2.65,5,1.5,0,0,22.2
2024-11-05,Tuesday,Spinach,kg,2.88,0,1.23,0.02,1.63,3,0.8,0,0,14.76
2024-11-05,Tuesday,Tortilla Wraps,pcs,66.92,0,33.3,0.76,32.86,70,20,0,0,39.96
2024-11-05,Tuesday,Pasta (various),kg,8.27,0,4.22,0.2,3.85,10,3,0,0,33.76
2024-11-05,Tuesday,Sriracha Sauce,litres,1.07,0,0.49,0.0,0.58,1,0.3,0,0,12.25
2024-11-05,Tuesday,BBQ Sauce,litres,0.82,0,0.39,0.0,0.43,1,0.2,0,0,7.02
2024-11-05,Tuesday,Chocolate (cooking),kg,2.17,0,1.02,0.01,1.14,2,0.5,0,0,32.64
2024-11-05,Tuesday,Coconut Flakes,kg,1.02,0,0.46,0.01,0.55,1,0.3,0,0,9.2
2024-11-05,Tuesday,Peanut Butter,kg,1.2,0,0.8,0.03,0.37,1.5,0.4,1,0,14.4
2024-11-05,Tuesday,Gloves (box),boxes,2.42,0,0.22,0.01,2.19,3,1,0,0,4.84
2024-11-06,Wednesday,Chicken Breast,kg,21.41,0,13.2,0.43,7.78,25,10,1,0,369.6
2024-11-06,Wednesday,Beef Patty (Wagyu),pcs,92.83,0,50.59,1.13,41.11,100,30,0,0,910.62
2024-11-06,Wednesday,Ribeye Steak,portions,11.66,0,9.77,0.23,1.66,15,5,1,0,537.35
2024-11-06,Wednesday,Beef Brisket,kg,7.35,0,3.81,0.18,3.36,8,3,0,0,171.45
2024-11-06,Wednesday,Salmon Fillet,portions,15.91,0,10.0,0.41,5.5,18,6,1,0,350.0
2024-11-06,Wednesday,Prawn (Sriracha),portions,12.84,0,6.27,0.15,6.42,12,4,0,0,137.94
2024-11-06,Wednesday,Eggs,pcs,354.03,0,251.13,9.95,92.95,360,100,1,0,200.9
2024-11-06,Wednesday,Milk,litres,33.04,0,20.83,0.35,11.86,40,12,1,0,124.98
2024-11-06,Wednesday,Espresso Beans (Lavazza),kg,3.99,0,2.32,0.04,1.63,5,1.5,0,0,220.4
2024-11-06,Wednesday,Mozzarella Cheese,kg,5.68,0,2.58,0.08,3.02,6,2,0,0,116.1
2024-11-06,Wednesday,Feta Cheese,kg,1.82,0,1.11,0.04,0.67,2,0.5,0,0,42.18
2024-11-06,Wednesday,Parmigiano,kg,1.47,0,0.71,0.0,0.76,1.5,0.4,0,0,39.05
2024-11-06,Wednesday,Avocado,pcs,49.27,0,23.9,0.29,25.08,50,15,0,0,95.6
2024-11-06,Wednesday,Brioche Buns,pcs,113.22,0,72.41,3.6,37.21,120,40,1,0,181.02
2024-11-06,Wednesday,Sourdough Bread,loaves,15.76,0,11.7,0.33,3.73,18,5,1,0,140.4
2024-11-06,Wednesday,Croissant,pcs,28.82,0,20.5,0.13,8.19,35,10,1,0,82.0
2024-11-06,Wednesday,French Fries (frozen),kg,28.26,0,13.43,0.11,14.72,28,8,0,0,120.87
2024-11-06,Wednesday,Sweet Corn,kg,3.3,0,2.14,0.07,1.09,4,1,0,0,14.98
2024-11-06,Wednesday,Green Peas,kg,1.36,0,0.57,0.02,0.77,1.5,0.4,0,0,4.56
2024-11-06,Wednesday,Lemon Juice,ml,1577.02,0,876.88,30.98,669.16,2000,500,0,0,17.54
2024-11-06,Wednesday,Olive Oil,litres,1.51,0,0.54,0.02,0.95,1.5,0.4,0,0,18.9
2024-11-06,Wednesday,White Sugar,kg,2.93,0,1.36,0.06,1.51,3,0.8,0,0,5.44
2024-11-06,Wednesday,Strawberries,kg,6.88,0,3.3,0.1,3.48,7,2,0,0,72.6
2024-11-06,Wednesday,Banana,kg,8.19,0,4.29,0.14,3.76,10,3,0,0,34.32
