date,time_slot,item,base_price_aed,discounted_price_aed,discount_pct,morning_stock,units_sold_at_discount,remaining_stock,revenue_from_discount_aed,waste_units_avoided,discount_triggered
2024-11-07,19:00,Assorted Cakes,15,10.5,30,22,1,3,10.5,1,1
2024-11-07,20:00,Assorted Cakes,15,9.0,40,22,1,2,9.0,1,1
2024-11-07,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,22,1,17,22.4,1,1
2024-11-07,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,22,4,13,78.4,4,1
2024-11-07,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,22,2,11,33.6,2,1
2024-11-08,18:00,Croissant - Plain Butter,10,8.0,20,16,4,0,32.0,4,1
2024-11-08,18:00,Assorted Cakes,15,12.0,20,14,0,10,0.0,0,0
2024-11-08,19:00,Assorted Cakes,15,10.5,30,14,4,6,42.0,4,1
2024-11-08,20:00,Assorted Cakes,15,9.0,40,14,0,6,0.0,0,0
2024-11-08,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,13,5,1,112.0,5,1
2024-11-08,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,13,1,0,19.6,1,1
2024-11-09,18:00,Croissant - Plain Butter,10,8.0,20,19,3,6,24.0,3,1
2024-11-09,19:00,Croissant - Plain Butter,10,7.0,30,19,4,2,28.0,4,1
2024-11-09,20:00,Croissant - Plain Butter,10,6.0,40,19,2,0,12.0,2,1
2024-11-09,18:00,Assorted Cakes,15,12.0,20,13,0,7,0.0,0,0
2024-11-09,19:00,Assorted Cakes,15,10.5,30,13,0,7,0.0,0,0
2024-11-09,20:00,Assorted Cakes,15,9.0,40,13,1,6,9.0,1,1
2024-11-09,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,13,4,4,89.6,4,1
2024-11-09,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,13,3,1,58.8,3,1
2024-11-09,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,13,0,1,0.0,0,0
2024-11-10,18:00,Croissant - Plain Butter,10,8.0,20,20,3,1,24.0,3,1
2024-11-10,19:00,Croissant - Plain Butter,10,7.0,30,20,0,1,0.0,0,0
2024-11-10,20:00,Croissant - Plain Butter,10,6.0,40,20,0,1,0.0,0,0
2024-11-10,18:00,Assorted Cakes,15,12.0,20,12,4,1,48.0,4,1
2024-11-10,19:00,Assorted Cakes,15,10.5,30,12,0,1,0.0,0,0
2024-11-10,20:00,Assorted Cakes,15,9.0,40,12,0,1,0.0,0,0
2024-11-10,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,21,4,7,89.6,4,1
2024-11-10,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,21,3,4,58.8,3,1
2024-11-10,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,21,2,2,33.6,2,1
2024-11-11,18:00,Croissant - Plain Butter,10,8.0,20,21,5,4,40.0,5,1
2024-11-11,19:00,Croissant - Plain Butter,10,7.0,30,21,3,1,21.0,3,1
2024-11-11,20:00,Croissant - Plain Butter,10,6.0,40,21,1,0,6.0,1,1
2024-11-11,18:00,Assorted Cakes,15,12.0,20,20,1,9,12.0,1,1
2024-11-11,19:00,Assorted Cakes,15,10.5,30,20,5,4,52.5,5,1
2024-11-11,20:00,Assorted Cakes,15,9.0,40,20,3,1,27.0,3,1
2024-11-11,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,19,4,7,89.6,4,1
2024-11-11,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,19,5,2,98.0,5,1
2024-11-11,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,19,1,1,16.8,1,1
2024-11-12,18:00,Croissant - Plain Butter,10,8.0,20,15,0,6,0.0,0,0
2024-11-12,19:00,Croissant - Plain Butter,10,7.0,30,15,0,6,0.0,0,0
2024-11-12,20:00,Croissant - Plain Butter,10,6.0,40,15,4,2,24.0,4,1
2024-11-12,18:00,Assorted Cakes,15,12.0,20,14,2,0,24.0,2,1
2024-11-12,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,12,0,8,0.0,0,0
2024-11-12,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,12,5,3,98.0,5,1
2024-11-12,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,12,2,1,33.6,2,1
2024-11-13,18:00,Croissant - Plain Butter,10,8.0,20,15,0,4,0.0,0,0
2024-11-13,19:00,Croissant - Plain Butter,10,7.0,30,15,0,4,0.0,0,0
2024-11-13,20:00,Croissant - Plain Butter,10,6.0,40,15,1,3,6.0,1,1
2024-11-13,18:00,Assorted Cakes,15,12.0,20,21,5,9,60.0,5,1
2024-11-13,19:00,Assorted Cakes,15,10.5,30,21,3,6,31.5,3,1
2024-11-13,20:00,Assorted Cakes,15,9.0,40,21,5,1,45.0,5,1
2024-11-13,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,15,2,2,44.8,2,1
2024-11-13,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,15,1,1,19.6,1,1
2024-11-13,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,15,0,1,0.0,0,0
2024-11-14,18:00,Croissant - Plain Butter,10,8.0,20,12,1,1,8.0,1,1
2024-11-14,19:00,Croissant - Plain Butter,10,7.0,30,12,1,0,7.0,1,1
2024-11-14,18:00,Assorted Cakes,15,12.0,20,22,3,4,36.0,3,1
2024-11-14,19:00,Assorted Cakes,15,10.5,30,22,0,4,0.0,0,0
2024-11-14,20:00,Assorted Cakes,15,9.0,40,22,0,4,0.0,0,0
2024-11-14,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,12,3,5,67.2,3,1
2024-11-14,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,12,5,0,98.0,5,1
2024-11-15,18:00,Croissant - Plain Butter,10,8.0,20,18,1,4,8.0,1,1
2024-11-15,19:00,Croissant - Plain Butter,10,7.0,30,18,0,4,0.0,0,0
2024-11-15,20:00,Croissant - Plain Butter,10,6.0,40,18,2,2,12.0,2,1
2024-11-15,18:00,Assorted Cakes,15,12.0,20,15,5,3,60.0,5,1
2024-11-15,19:00,Assorted Cakes,15,10.5,30,15,1,2,10.5,1,1
2024-11-15,20:00,Assorted Cakes,15,9.0,40,15,0,2,0.0,0,0
2024-11-15,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,19,0,13,0.0,0,0
2024-11-15,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,19,1,12,19.6,1,1
2024-11-15,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,19,3,9,50.4,3,1
2024-11-16,18:00,Croissant - Plain Butter,10,8.0,20,15,2,6,16.0,2,1
2024-11-16,19:00,Croissant - Plain Butter,10,7.0,30,15,2,4,14.0,2,1
2024-11-16,20:00,Croissant - Plain Butter,10,6.0,40,15,2,2,12.0,2,1
2024-11-16,18:00,Assorted Cakes,15,12.0,20,15,0,9,0.0,0,0
2024-11-16,19:00,Assorted Cakes,15,10.5,30,15,5,4,52.5,5,1
2024-11-16,20:00,Assorted Cakes,15,9.0,40,15,0,4,0.0,0,0
2024-11-16,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,18,0,13,0.0,0,0
2024-11-16,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,18,4,9,78.4,4,1
2024-11-16,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,18,3,6,50.4,3,1
2024-11-17,18:00,Croissant - Plain Butter,10,8.0,20,22,4,2,32.0,4,1
2024-11-17,19:00,Croissant - Plain Butter,10,7.0,30,22,0,2,0.0,0,0
2024-11-17,20:00,Croissant - Plain Butter,10,6.0,40,22,1,1,6.0,1,1
2024-11-17,18:00,Assorted Cakes,15,12.0,20,12,2,0,24.0,2,1
2024-11-17,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,16,0,4,0.0,0,0
2024-11-17,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,16,2,2,39.2,2,1
2024-11-17,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,16,2,0,33.6,2,1
2024-11-18,18:00,Croissant - Plain Butter,10,8.0,20,21,0,17,0.0,0,0
2024-11-18,19:00,Croissant - Plain Butter,10,7.0,30,21,0,17,0.0,0,0
2024-11-18,20:00,Croissant - Plain Butter,10,6.0,40,21,5,12,30.0,5,1
2024-11-18,18:00,Assorted Cakes,15,12.0,20,20,5,6,60.0,5,1
2024-11-18,19:00,Assorted Cakes,15,10.5,30,20,0,6,0.0,0,0
2024-11-18,20:00,Assorted Cakes,15,9.0,40,20,0,6,0.0,0,0
2024-11-18,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,21,3,10,67.2,3,1
2024-11-18,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,21,5,5,98.0,5,1
2024-11-18,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,21,3,2,50.4,3,1
2024-11-19,18:00,Croissant - Plain Butter,10,8.0,20,19,3,1,24.0,3,1
2024-11-19,19:00,Croissant - Plain Butter,10,7.0,30,19,0,1,0.0,0,0
2024-11-19,20:00,Croissant - Plain Butter,10,6.0,40,19,1,0,6.0,1,1
2024-11-19,18:00,Assorted Cakes,15,12.0,20,15,1,3,12.0,1,1
2024-11-19,19:00,Assorted Cakes,15,10.5,30,15,1,2,10.5,1,1
2024-11-19,20:00,Assorted Cakes,15,9.0,40,15,1,1,9.0,1,1
2024-11-19,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,18,0,3,0.0,0,0
2024-11-19,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,18,2,1,39.2,2,1
2024-11-19,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,18,0,1,0.0,0,0
2024-11-20,18:00,Croissant - Plain Butter,10,8.0,20,21,4,7,32.0,4,1
2024-11-20,19:00,Croissant - Plain Butter,10,7.0,30,21,0,7,0.0,0,0
2024-11-20,20:00,Croissant - Plain Butter,10,6.0,40,21,0,7,0.0,0,0
2024-11-20,18:00,Assorted Cakes,15,12.0,20,21,3,2,36.0,3,1
2024-11-20,19:00,Assorted Cakes,15,10.5,30,21,2,0,21.0,2,1
2024-11-20,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,16,1,5,22.4,1,1
2024-11-20,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,16,0,5,0.0,0,0
2024-11-20,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,16,5,0,84.0,5,1
2024-11-21,18:00,Croissant - Plain Butter,10,8.0,20,18,1,2,8.0,1,1
2024-11-21,19:00,Croissant - Plain Butter,10,7.0,30,18,1,1,7.0,1,1
2024-11-21,20:00,Croissant - Plain Butter,10,6.0,40,18,0,1,0.0,0,0
2024-11-21,18:00,Assorted Cakes,15,12.0,20,22,4,11,48.0,4,1
2024-11-21,19:00,Assorted Cakes,15,10.5,30,22,3,8,31.5,3,1
2024-11-21,20:00,Assorted Cakes,15,9.0,40,22,5,3,45.0,5,1
2024-11-21,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,16,3,3,67.2,3,1
2024-11-21,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,16,3,0,58.8,3,1
2024-11-22,18:00,Croissant - Plain Butter,10,8.0,20,19,2,0,16.0,2,1
2024-11-22,18:00,Assorted Cakes,15,12.0,20,12,3,2,36.0,3,1
2024-11-22,19:00,Assorted Cakes,15,10.5,30,12,0,2,0.0,0,0
2024-11-22,20:00,Assorted Cakes,15,9.0,40,12,1,1,9.0,1,1
2024-11-22,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,14,1,4,22.4,1,1
2024-11-22,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,14,2,2,39.2,2,1
2024-11-22,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,14,2,0,33.6,2,1
2024-11-23,18:00,Croissant - Plain Butter,10,8.0,20,12,2,1,16.0,2,1
2024-11-23,19:00,Croissant - Plain Butter,10,7.0,30,12,0,1,0.0,0,0
2024-11-23,20:00,Croissant - Plain Butter,10,6.0,40,12,0,1,0.0,0,0
2024-11-23,18:00,Assorted Cakes,15,12.0,20,15,2,0,24.0,2,1
2024-11-23,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,18,1,12,22.4,1,1
2024-11-23,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,18,2,10,39.2,2,1
2024-11-23,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,18,3,7,50.4,3,1
2024-11-24,18:00,Croissant - Plain Butter,10,8.0,20,15,5,6,40.0,5,1
2024-11-24,19:00,Croissant - Plain Butter,10,7.0,30,15,0,6,0.0,0,0
2024-11-24,20:00,Croissant - Plain Butter,10,6.0,40,15,0,6,0.0,0,0
2024-11-24,18:00,Assorted Cakes,15,12.0,20,18,3,0,36.0,3,1
2024-11-24,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,13,0,4,0.0,0,0
2024-11-24,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,13,1,3,19.6,1,1
2024-11-24,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,13,1,2,16.8,1,1
2024-11-25,18:00,Croissant - Plain Butter,10,8.0,20,16,1,7,8.0,1,1
2024-11-25,19:00,Croissant - Plain Butter,10,7.0,30,16,1,6,7.0,1,1
2024-11-25,20:00,Croissant - Plain Butter,10,6.0,40,16,0,6,0.0,0,0
2024-11-25,18:00,Assorted Cakes,15,12.0,20,12,2,2,24.0,2,1
2024-11-25,19:00,Assorted Cakes,15,10.5,30,12,1,1,10.5,1,1
2024-11-25,20:00,Assorted Cakes,15,9.0,40,12,0,1,0.0,0,0
2024-11-25,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,20,4,10,89.6,4,1
2024-11-25,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,20,1,9,19.6,1,1
2024-11-25,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,20,4,5,67.2,4,1
2024-11-26,18:00,Croissant - Plain Butter,10,8.0,20,16,5,0,40.0,5,1
2024-11-26,18:00,Assorted Cakes,15,12.0,20,20,0,9,0.0,0,0
2024-11-26,19:00,Assorted Cakes,15,10.5,30,20,1,8,10.5,1,1
2024-11-26,20:00,Assorted Cakes,15,9.0,40,20,0,8,0.0,0,0
2024-11-26,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,19,3,1,67.2,3,1
2024-11-26,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,19,0,1,0.0,0,0
2024-11-26,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,19,1,0,16.8,1,1
2024-11-27,18:00,Croissant - Plain Butter,10,8.0,20,22,1,11,8.0,1,1
2024-11-27,19:00,Croissant - Plain Butter,10,7.0,30,22,5,6,35.0,5,1
2024-11-27,20:00,Croissant - Plain Butter,10,6.0,40,22,5,1,30.0,5,1
2024-11-27,18:00,Assorted Cakes,15,12.0,20,20,0,12,0.0,0,0
2024-11-27,19:00,Assorted Cakes,15,10.5,30,20,3,9,31.5,3,1
2024-11-27,20:00,Assorted Cakes,15,9.0,40,20,5,4,45.0,5,1
2024-11-27,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,22,1,17,22.4,1,1
2024-11-27,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,22,5,12,98.0,5,1
2024-11-27,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,22,4,8,67.2,4,1
2024-11-28,18:00,Croissant - Plain Butter,10,8.0,20,21,0,17,0.0,0,0
2024-11-28,19:00,Croissant - Plain Butter,10,7.0,30,21,0,17,0.0,0,0
2024-11-28,20:00,Croissant - Plain Butter,10,6.0,40,21,4,13,24.0,4,1
2024-11-28,18:00,Assorted Cakes,15,12.0,20,12,1,4,12.0,1,1
2024-11-28,19:00,Assorted Cakes,15,10.5,30,12,0,4,0.0,0,0
2024-11-28,20:00,Assorted Cakes,15,9.0,40,12,3,1,27.0,3,1
2024-11-28,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,22,5,7,112.0,5,1
2024-11-28,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,22,0,7,0.0,0,0
2024-11-28,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,22,5,2,84.0,5,1
2024-11-29,18:00,Croissant - Plain Butter,10,8.0,20,19,4,0,32.0,4,1
2024-11-29,18:00,Assorted Cakes,15,12.0,20,22,2,1,24.0,2,1
2024-11-29,19:00,Assorted Cakes,15,10.5,30,22,0,1,0.0,0,0
2024-11-29,20:00,Assorted Cakes,15,9.0,40,22,0,1,0.0,0,0
2024-11-29,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,16,1,1,22.4,1,1
2024-11-29,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,16,1,0,19.6,1,1
2024-11-30,18:00,Croissant - Plain Butter,10,8.0,20,20,2,7,16.0,2,1
2024-11-30,19:00,Croissant - Plain Butter,10,7.0,30,20,1,6,7.0,1,1
2024-11-30,20:00,Croissant - Plain Butter,10,6.0,40,20,4,2,24.0,4,1
2024-11-30,18:00,Assorted Cakes,15,12.0,20,12,0,5,0.0,0,0
2024-11-30,19:00,Assorted Cakes,15,10.5,30,12,2,3,21.0,2,1
2024-11-30,20:00,Assorted Cakes,15,9.0,40,12,3,0,27.0,3,1
2024-11-30,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,22,0,17,0.0,0,0
2024-11-30,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,22,1,16,19.6,1,1
2024-11-30,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,22,0,16,0.0,0,0
2024-12-01,18:00,Croissant - Plain Butter,10,8.0,20,14,1,1,8.0,1,1
2024-12-01,19:00,Croissant - Plain Butter,10,7.0,30,14,1,0,7.0,1,1
2024-12-01,18:00,Assorted Cakes,15,12.0,20,14,2,5,24.0,2,1
2024-12-01,19:00,Assorted Cakes,15,10.5,30,14,2,3,21.0,2,1
2024-12-01,20:00,Assorted Cakes,15,9.0,40,14,0,3,0.0,0,0
2024-12-01,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,20,2,1,44.8,2,1
2024-12-01,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,20,0,1,0.0,0,0
2024-12-01,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,20,0,1,0.0,0,0
2024-12-02,18:00,Croissant - Plain Butter,10,8.0,20,21,4,0,32.0,4,1
2024-12-02,18:00,Assorted Cakes,15,12.0,20,14,1,8,12.0,1,1
2024-12-02,19:00,Assorted Cakes,15,10.5,30,14,0,8,0.0,0,0
2024-12-02,20:00,Assorted Cakes,15,9.0,40,14,3,5,27.0,3,1
2024-12-02,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,21,4,4,89.6,4,1
2024-12-02,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,21,2,2,39.2,2,1
2024-12-02,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,21,1,1,16.8,1,1
2024-12-03,18:00,Croissant - Plain Butter,10,8.0,20,17,1,1,8.0,1,1
2024-12-03,19:00,Croissant - Plain Butter,10,7.0,30,17,0,1,0.0,0,0
2024-12-03,20:00,Croissant - Plain Butter,10,6.0,40,17,0,1,0.0,0,0
2024-12-03,18:00,Assorted Cakes,15,12.0,20,17,0,9,0.0,0,0
2024-12-03,19:00,Assorted Cakes,15,10.5,30,17,1,8,10.5,1,1
2024-12-03,20:00,Assorted Cakes,15,9.0,40,17,2,6,18.0,2,1
2024-12-03,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,15,2,7,44.8,2,1
2024-12-03,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,15,1,6,19.6,1,1
2024-12-03,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,15,1,5,16.8,1,1
2024-12-04,18:00,Croissant - Plain Butter,10,8.0,20,20,4,11,32.0,4,1
2024-12-04,19:00,Croissant - Plain Butter,10,7.0,30,20,5,6,35.0,5,1
2024-12-04,20:00,Croissant - Plain Butter,10,6.0,40,20,2,4,12.0,2,1
2024-12-04,18:00,Assorted Cakes,15,12.0,20,17,2,8,24.0,2,1
2024-12-04,19:00,Assorted Cakes,15,10.5,30,17,3,5,31.5,3,1
2024-12-04,20:00,Assorted Cakes,15,9.0,40,17,4,1,36.0,4,1
2024-12-04,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,13,5,1,112.0,5,1
2024-12-04,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,13,0,1,0.0,0,0
2024-12-04,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,13,0,1,0.0,0,0
2024-12-05,18:00,Croissant - Plain Butter,10,8.0,20,14,0,2,0.0,0,0
2024-12-05,19:00,Croissant - Plain Butter,10,7.0,30,14,0,2,0.0,0,0
2024-12-05,20:00,Croissant - Plain Butter,10,6.0,40,14,1,1,6.0,1,1
2024-12-05,18:00,Assorted Cakes,15,12.0,20,22,5,6,60.0,5,1
2024-12-05,19:00,Assorted Cakes,15,10.5,30,22,1,5,10.5,1,1
2024-12-05,20:00,Assorted Cakes,15,9.0,40,22,2,3,18.0,2,1
2024-12-05,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,21,4,3,89.6,4,1
2024-12-05,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,21,1,2,19.6,1,1
2024-12-05,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,21,2,0,33.6,2,1
2024-12-06,18:00,Croissant - Plain Butter,10,8.0,20,15,0,8,0.0,0,0
2024-12-06,19:00,Croissant - Plain Butter,10,7.0,30,15,3,5,21.0,3,1
2024-12-06,20:00,Croissant - Plain Butter,10,6.0,40,15,2,3,12.0,2,1
2024-12-06,18:00,Assorted Cakes,15,12.0,20,20,1,8,12.0,1,1
2024-12-06,19:00,Assorted Cakes,15,10.5,30,20,1,7,10.5,1,1
2024-12-06,20:00,Assorted Cakes,15,9.0,40,20,4,3,36.0,4,1
2024-12-06,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,16,2,2,44.8,2,1
2024-12-06,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,16,2,0,39.2,2,1
2024-12-07,18:00,Croissant - Plain Butter,10,8.0,20,20,0,15,0.0,0,0
2024-12-07,19:00,Croissant - Plain Butter,10,7.0,30,20,0,15,0.0,0,0
2024-12-07,20:00,Croissant - Plain Butter,10,6.0,40,20,4,11,24.0,4,1
2024-12-07,18:00,Assorted Cakes,15,12.0,20,19,5,1,60.0,5,1
2024-12-07,19:00,Assorted Cakes,15,10.5,30,19,0,1,0.0,0,0
